iter	Passed	Remaining
0	7	7277
1	8	4388
2	10	3407
3	11	2900
4	13	2620
5	14	2407
6	15	2264
7	17	2152
8	18	2064
9	20	1996
10	21	1943
11	23	1895
12	24	1856
13	25	1819
14	27	1789
15	28	1762
16	30	1738
17	31	1717
18	32	1699
19	34	1680
20	35	1661
21	37	1654
22	38	1642
23	40	1628
24	41	1616
25	42	1607
26	44	1596
27	45	1585
28	47	1576
29	48	1567
30	49	1559
31	51	1556
32	52	1548
33	54	1541
34	55	1535
35	57	1531
36	58	1528
37	60	1524
38	61	1520
39	63	1514
40	64	1509
41	66	1506
42	67	1502
43	68	1497
44	70	1493
45	71	1488
46	73	1484
47	74	1481
48	76	1478
49	77	1474
50	79	1470
51	80	1466
52	82	1468
53	83	1464
54	85	1460
55	86	1457
56	87	1453
57	89	1453
58	90	1450
59	92	1447
60	93	1444
61	95	1441
62	96	1440
63	98	1436
64	99	1434
65	101	1430
66	102	1427
67	103	1424
68	105	1421
69	106	1420
70	108	1417
71	109	1414
72	111	1411
73	112	1409
74	114	1407
75	115	1404
76	116	1401
77	118	1398
78	119	1395
79	121	1394
80	122	1391
81	124	1389
82	125	1386
83	127	1386
84	128	1384
85	130	1382
86	131	1379
87	132	1377
88	134	1375
89	136	1375
90	137	1373
91	138	1371
92	140	1369
93	141	1367
94	143	1365
95	145	1366
96	146	1368
97	148	1369
98	150	1368
99	151	1367
100	153	1368
101	155	1365
102	156	1363
103	158	1362
104	159	1360
105	161	1358
106	162	1356
107	163	1353
108	165	1350
109	166	1348
110	168	1345
111	169	1344
112	170	1341
113	172	1340
114	173	1338
115	175	1335
116	176	1333
117	178	1330
118	179	1328
119	181	1327
120	182	1325
121	184	1324
122	185	1322
123	187	1323
124	188	1321
125	190	1319
126	191	1317
127	193	1315
128	194	1313
129	195	1311
130	197	1308
131	198	1306
132	200	1307
133	201	1305
134	203	1302
135	204	1300
136	206	1298
137	207	1296
138	209	1294
139	210	1292
140	211	1290
141	213	1288
142	214	1287
143	216	1285
144	217	1283
145	218	1280
146	220	1278
147	221	1276
148	223	1274
149	223	1268
150	225	1267
151	226	1265
152	228	1263
153	229	1262
154	231	1260
155	232	1258
156	234	1256
157	235	1254
158	236	1252
159	238	1250
160	239	1248
161	241	1246
162	242	1244
163	243	1242
164	245	1240
165	246	1239
166	248	1237
167	249	1235
168	250	1233
169	252	1231
170	253	1229
171	254	1227
172	256	1225
173	257	1223
174	259	1222
175	260	1220
176	262	1218
177	263	1217
178	265	1216
179	266	1214
180	267	1212
181	269	1210
182	270	1208
183	272	1207
184	273	1206
185	275	1204
186	276	1203
187	278	1202
188	279	1200
189	281	1198
190	282	1196
191	283	1195
192	285	1193
193	286	1191
194	288	1190
195	289	1188
196	291	1187
197	292	1185
198	294	1184
199	295	1182
200	296	1180
201	298	1179
202	299	1177
203	301	1175
204	302	1174
205	304	1172
206	305	1170
207	307	1168
208	308	1167
209	309	1165
210	311	1163
211	312	1162
212	314	1160
213	315	1159
214	317	1157
215	318	1155
216	319	1153
217	321	1152
218	322	1150
219	323	1148
220	325	1147
221	326	1145
222	328	1143
223	329	1142
224	331	1140
225	332	1138
226	334	1137
227	335	1136
228	337	1136
229	338	1134
230	340	1133
231	342	1132
232	343	1130
233	344	1128
234	346	1127
235	347	1125
236	349	1123
237	350	1122
238	351	1120
239	353	1118
240	354	1116
241	355	1114
242	357	1113
243	358	1112
244	360	1110
245	361	1108
246	363	1107
247	364	1105
248	366	1104
249	367	1102
250	368	1100
251	370	1099
252	371	1097
253	373	1096
254	374	1095
255	376	1093
256	377	1091
257	379	1090
258	380	1089
259	382	1087
260	383	1086
261	385	1086
262	387	1085
263	388	1083
264	390	1082
265	391	1080
266	393	1078
267	394	1078
268	396	1077
269	397	1075
270	399	1074
271	401	1073
272	402	1071
273	403	1069
274	405	1068
275	406	1066
276	407	1064
277	409	1064
278	411	1063
279	412	1061
280	414	1060
281	415	1058
282	417	1057
283	418	1055
284	420	1054
285	421	1052
286	424	1054
287	425	1052
288	427	1051
289	428	1049
290	430	1047
291	431	1046
292	432	1044
293	434	1042
294	435	1041
295	437	1041
296	439	1040
297	441	1039
298	442	1038
299	444	1037
300	446	1037
301	448	1035
302	449	1034
303	450	1032
304	452	1030
305	453	1029
306	457	1031
307	459	1032
308	461	1031
309	462	1030
310	464	1028
311	466	1028
312	468	1027
313	469	1026
314	471	1026
315	473	1024
316	474	1023
317	476	1022
318	478	1020
319	479	1019
320	481	1017
321	482	1016
322	483	1014
323	486	1014
324	487	1012
325	489	1011
326	490	1009
327	492	1009
328	494	1008
329	496	1007
330	497	1006
331	500	1006
332	502	1007
333	505	1007
334	507	1006
335	508	1005
336	510	1004
337	511	1002
338	513	1000
339	515	1000
340	516	998
341	518	996
342	519	995
343	520	993
344	522	991
345	523	990
346	525	988
347	526	986
348	527	984
349	529	983
350	530	981
351	532	980
352	533	978
353	535	976
354	536	975
355	538	973
356	539	971
357	540	969
358	542	968
359	543	967
360	545	965
361	547	964
362	548	962
363	550	961
364	551	959
365	552	957
366	554	956
367	555	954
368	557	952
369	559	951
370	560	950
371	562	948
372	563	947
373	564	945
374	566	943
375	567	942
376	569	940
377	570	938
378	572	937
379	573	935
380	575	934
381	576	932
382	577	931
383	579	929
384	580	927
385	582	926
386	583	924
387	584	922
388	586	921
389	587	919
390	589	917
391	590	916
392	592	914
393	593	912
394	594	911
395	596	909
396	597	907
397	599	906
398	600	904
399	602	903
400	603	901
401	605	900
402	606	898
403	607	896
404	609	895
405	610	893
406	612	891
407	613	890
