iter	Recall	Logloss
375	0.9407894737	0.07320458974
376	0.9407894737	0.07316050889
377	0.9473684211	0.0728581428
378	0.9473684211	0.07246585491
379	0.9473684211	0.07212247071
380	0.9473684211	0.07181304123
381	0.9473684211	0.07120470132
382	0.9473684211	0.07078414898
383	0.9473684211	0.07062367942
384	0.9539473684	0.07022423734
385	0.9539473684	0.07002943395
386	0.9539473684	0.06964601893
387	0.9539473684	0.06944113809
388	0.9605263158	0.06916028069
389	0.9605263158	0.06895310331
390	0.9605263158	0.06861519519
391	0.9605263158	0.06833023282
392	0.9605263158	0.06813916615
393	0.9605263158	0.06783186175
394	0.9605263158	0.0676462666
395	0.9605263158	0.06740448827
396	0.9605263158	0.0671618963
397	0.9605263158	0.06693082805
398	0.9605263158	0.06668152824
399	0.9605263158	0.0664326476
400	0.9671052632	0.06629599031
401	0.9605263158	0.06592889246
402	0.9671052632	0.06568657633
403	0.9671052632	0.06548451942
404	0.9671052632	0.06515319599
405	0.9736842105	0.06480312589
406	0.9671052632	0.06453462175
407	0.9671052632	0.06423293203
