iter	Passed	Remaining
0	22	2276
1	54	2677
2	77	2509
3	99	2383
4	121	2303
5	149	2347
6	182	2421
7	204	2347
8	225	2284
9	247	2229
10	270	2188
11	292	2143
12	315	2114
13	338	2078
14	368	2086
15	396	2080
16	421	2055
17	443	2021
18	466	1990
19	491	1964
20	513	1932
21	537	1905
22	564	1889
23	596	1889
24	623	1870
25	662	1885
26	687	1859
27	713	1834
28	740	1813
29	765	1787
30	789	1757
31	811	1724
32	847	1721
33	870	1688
34	895	1662
35	927	1648
36	949	1617
37	975	1591
38	1013	1584
39	1055	1582
40	1077	1551
41	1099	1519
42	1121	1486
43	1158	1474
44	1183	1447
45	1205	1415
46	1227	1384
47	1249	1353
48	1272	1324
49	1294	1294
50	1315	1264
51	1337	1234
52	1360	1206
53	1381	1177
54	1403	1148
55	1440	1131
56	1485	1120
57	1516	1098
58	1545	1073
59	1557	1038
60	1589	1016
61	1616	990
62	1639	963
63	1663	935
64	1685	907
65	1709	880
66	1731	852
67	1767	831
68	1790	804
69	1812	776
70	1847	754
71	1871	727
72	1893	700
73	1904	669
74	1926	642
75	1965	620
76	1993	595
77	2030	572
78	2056	546
79	2092	523
80	2117	496
81	2139	469
82	2171	444
83	2193	417
84	2216	391
85	2239	364
86	2264	338
87	2280	310
88	2335	288
89	2357	261
90	2379	235
91	2426	210
92	2452	184
93	2478	158
94	2515	132
95	2548	106
96	2571	79
97	2593	52
98	2623	26
99	2653	0
