iter	Passed	Remaining
0	136	135869
1	137	68743
2	139	46355
3	141	35154
4	143	28485
5	144	23989
6	146	20738
7	147	18301
8	149	16423
9	150	14907
10	152	13671
11	153	12636
12	154	11762
13	156	11011
14	157	10361
15	159	9800
16	161	9317
17	163	8906
18	165	8519
19	166	8166
20	168	7838
21	169	7538
22	171	7278
23	173	7036
24	174	6812
25	176	6596
26	177	6399
27	179	6214
28	180	6042
29	181	5882
30	183	5732
31	184	5592
32	186	5459
33	187	5333
34	189	5216
35	190	5106
36	193	5023
37	194	4928
38	196	4835
39	197	4745
40	199	4659
41	200	4577
42	202	4515
43	205	4460
44	207	4393
45	208	4331
46	210	4276
47	213	4226
48	214	4172
49	217	4128
50	218	4071
51	220	4023
52	222	3979
53	224	3930
54	226	3886
55	227	3838
56	229	3791
57	231	3752
58	233	3721
59	235	3689
60	237	3655
61	239	3616
62	240	3579
63	242	3543
64	243	3509
65	245	3475
66	247	3443
67	249	3416
68	250	3385
69	252	3356
70	254	3330
71	256	3306
72	258	3277
73	259	3247
74	261	3219
75	262	3194
76	264	3169
77	265	3143
78	267	3116
79	269	3093
80	270	3068
81	271	3043
82	273	3018
83	274	2996
84	276	2973
85	277	2951
86	279	2928
87	280	2908
88	282	2887
89	283	2866
90	284	2846
91	286	2826
92	287	2806
93	289	2786
94	290	2767
95	291	2749
96	293	2731
97	294	2713
98	296	2696
99	297	2679
100	299	2662
101	300	2647
102	302	2631
103	303	2615
104	304	2599
105	306	2583
106	307	2565
107	308	2550
108	310	2536
109	311	2522
110	313	2508
111	314	2494
112	316	2481
113	317	2468
114	318	2454
115	320	2441
116	321	2428
117	323	2415
118	324	2403
119	326	2392
120	327	2380
121	329	2368
122	330	2357
123	332	2347
124	333	2335
125	335	2324
126	336	2313
127	337	2302
128	339	2291
129	340	2281
130	342	2271
131	343	2261
132	345	2251
133	346	2242
134	348	2232
135	349	2223
136	351	2213
137	352	2203
138	354	2193
139	355	2184
140	357	2176
141	358	2163
142	359	2154
143	360	2145
144	362	2136
145	363	2127
146	365	2119
147	366	2110
148	368	2102
149	369	2094
150	371	2086
151	372	2078
152	374	2070
153	375	2063
154	376	2055
155	378	2047
156	379	2039
157	381	2032
158	382	2024
159	384	2017
160	385	2010
161	387	2003
162	388	1996
163	390	1988
164	391	1981
165	392	1974
166	394	1968
167	395	1961
168	397	1954
169	398	1947
170	400	1940
171	401	1934
172	403	1927
173	404	1921
174	406	1915
175	407	1908
176	409	1902
177	410	1896
178	412	1889
179	413	1883
180	414	1877
181	416	1872
182	418	1867
183	419	1861
184	421	1855
185	422	1849
186	424	1844
187	425	1839
188	427	1833
189	428	1827
190	430	1821
191	431	1815
192	433	1811
193	434	1806
194	435	1799
195	437	1794
196	438	1788
197	440	1783
198	441	1778
199	443	1773
200	444	1767
