iter	Recall	Logloss
0	0.2302631579	0.6690322228
1	0.2039473684	0.6486255516
2	0.1315789474	0.6306031327
3	0.1118421053	0.6123675167
4	0.1315789474	0.5941691394
5	0.09210526316	0.5807240739
6	0.08552631579	0.5653410592
7	0.04605263158	0.5513930897
8	0.08552631579	0.5357855428
9	0.07894736842	0.524373676
10	0.07894736842	0.5140233771
11	0.07236842105	0.5056624725
12	0.07894736842	0.4934132137
13	0.09210526316	0.4815796623
14	0.09210526316	0.4720805841
15	0.09210526316	0.4633380975
16	0.09868421053	0.4531261453
17	0.09868421053	0.444681098
18	0.1118421053	0.4363292123
19	0.1315789474	0.426949706
20	0.1381578947	0.4192765555
21	0.1578947368	0.4126501856
22	0.1710526316	0.4046468457
23	0.1842105263	0.3980977614
24	0.1710526316	0.39303364
25	0.1710526316	0.3878084327
26	0.1644736842	0.382412985
27	0.1644736842	0.3779647022
28	0.1578947368	0.3750159395
29	0.1513157895	0.3707643862
30	0.1776315789	0.3663156921
31	0.1973684211	0.3601715473
32	0.1907894737	0.3575683227
33	0.1907894737	0.3539619356
34	0.1907894737	0.3510613828
35	0.1907894737	0.3485268164
36	0.1973684211	0.3455244103
37	0.2171052632	0.3423619038
38	0.2302631579	0.3388713716
39	0.2302631579	0.3356539169
40	0.2302631579	0.3330225233
41	0.2302631579	0.32993993
42	0.2302631579	0.3276882411
43	0.2302631579	0.3250639275
44	0.2368421053	0.3222475983
45	0.2368421053	0.3196772421
46	0.2368421053	0.318327601
47	0.2368421053	0.3159325194
48	0.2434210526	0.3140091798
49	0.25	0.3123539023
50	0.25	0.310567746
51	0.2565789474	0.3090080496
52	0.2565789474	0.3058970424
53	0.2565789474	0.3035806021
54	0.2631578947	0.3007889162
55	0.2631578947	0.2985023066
56	0.2697368421	0.2968303147
57	0.2763157895	0.2936775791
58	0.2828947368	0.2914830448
59	0.2894736842	0.2892089305
60	0.2960526316	0.2870640092
61	0.2894736842	0.285457597
62	0.2960526316	0.2831247349
63	0.3026315789	0.2806149158
64	0.3026315789	0.2778457353
65	0.3223684211	0.2763260527
66	0.3223684211	0.2747093962
67	0.3157894737	0.2731104049
68	0.3223684211	0.2721672642
69	0.3223684211	0.2715616703
70	0.3289473684	0.270346461
71	0.3355263158	0.2686334366
72	0.3355263158	0.2666653598
73	0.3355263158	0.2653665173
74	0.3421052632	0.2639505287
75	0.3421052632	0.2626031784
