iter	Passed	Remaining
0	11	11479
1	13	6501
2	14	4803
3	15	3957
4	17	3443
5	18	3093
6	20	2852
7	21	2665
8	22	2521
9	24	2400
10	25	2321
11	27	2241
12	29	2233
13	31	2194
14	32	2148
15	34	2110
16	35	2072
17	37	2034
18	38	1995
19	40	1970
20	42	1966
21	43	1938
22	45	1936
23	47	1929
24	49	1913
25	51	1931
26	53	1912
27	54	1892
28	56	1885
29	57	1868
30	59	1852
31	60	1836
32	62	1820
33	63	1805
34	64	1789
35	66	1775
36	67	1763
37	69	1753
38	70	1742
39	72	1734
40	73	1724
41	75	1714
42	76	1703
43	77	1694
44	79	1686
45	80	1677
46	82	1668
47	83	1662
48	85	1655
49	86	1647
50	88	1640
51	89	1632
52	90	1625
53	92	1617
54	93	1611
55	95	1604
56	96	1597
57	98	1591
58	99	1589
59	101	1584
60	102	1579
61	104	1575
62	105	1569
63	106	1564
64	108	1559
65	109	1554
66	111	1548
67	112	1543
68	114	1540
69	115	1531
70	131	1718
71	132	1712
72	134	1705
73	135	1699
74	137	1692
75	138	1687
76	140	1680
77	141	1674
78	143	1668
79	144	1662
80	146	1657
81	147	1650
82	148	1645
83	150	1638
84	151	1633
85	153	1628
86	154	1623
87	156	1620
88	157	1616
89	159	1610
90	160	1606
91	162	1601
92	163	1596
93	165	1590
94	166	1585
95	167	1580
96	169	1575
97	170	1570
98	172	1565
99	173	1560
100	174	1557
101	176	1552
102	177	1548
103	179	1543
104	180	1538
105	181	1534
106	183	1532
107	185	1529
108	186	1525
109	188	1521
110	189	1517
111	190	1513
112	192	1509
113	193	1506
114	195	1502
115	196	1498
116	197	1494
117	199	1491
118	200	1487
119	202	1484
120	203	1480
121	205	1476
122	206	1473
123	208	1469
124	209	1466
125	210	1462
126	212	1458
127	213	1455
128	215	1452
129	216	1448
130	217	1445
131	219	1444
132	221	1440
133	222	1437
134	223	1434
135	225	1431
136	226	1428
137	228	1425
138	229	1422
139	231	1419
140	232	1416
141	234	1414
142	235	1413
143	237	1410
144	238	1407
145	240	1404
146	241	1401
147	243	1399
148	244	1396
149	245	1393
150	247	1390
151	248	1388
152	250	1385
153	251	1383
154	253	1380
155	254	1377
156	256	1375
157	257	1372
158	258	1369
159	260	1366
160	262	1365
161	263	1364
162	265	1362
163	266	1360
164	268	1357
165	269	1355
166	271	1355
167	273	1353
168	274	1351
169	276	1352
170	278	1349
171	279	1347
172	281	1345
173	282	1342
174	284	1339
175	285	1336
176	286	1334
177	288	1331
178	289	1328
179	291	1326
180	292	1323
181	294	1322
182	295	1319
183	296	1316
184	298	1314
185	299	1311
186	301	1308
187	302	1306
188	303	1303
189	305	1301
190	306	1298
191	308	1296
192	309	1294
193	311	1292
194	312	1290
195	313	1287
196	315	1285
197	316	1283
198	318	1281
199	319	1278
200	321	1276
201	322	1273
202	323	1271
203	325	1269
204	326	1267
205	328	1264
206	329	1262
207	330	1260
208	332	1258
209	333	1255
210	335	1253
211	336	1251
212	338	1248
213	339	1248
214	341	1246
215	342	1244
216	344	1241
217	345	1239
218	346	1237
219	348	1235
220	349	1232
221	351	1230
222	352	1228
223	354	1226
224	355	1224
225	357	1223
226	358	1221
227	360	1219
228	361	1216
229	362	1214
230	364	1212
231	365	1210
232	367	1208
233	368	1205
234	369	1204
235	371	1202
236	372	1200
237	374	1198
238	375	1197
239	377	1194
240	378	1192
241	380	1190
242	381	1188
243	382	1186
244	384	1184
245	385	1182
246	387	1181
247	389	1179
248	390	1177
249	391	1175
250	393	1173
251	394	1171
252	396	1169
253	397	1167
254	398	1165
255	400	1163
256	401	1161
257	403	1160
258	404	1158
259	406	1156
260	407	1153
261	409	1152
262	410	1150
263	411	1148
264	413	1146
265	414	1144
266	416	1143
267	418	1142
268	419	1141
269	421	1140
270	424	1142
271	426	1140
272	427	1139
273	429	1137
274	430	1135
275	432	1133
276	433	1131
277	435	1130
278	436	1128
279	438	1126
280	439	1124
281	440	1122
282	442	1120
283	443	1118
284	445	1117
285	446	1115
286	448	1113
287	449	1111
288	451	1109
289	452	1108
290	453	1106
291	455	1104
292	456	1102
293	458	1100
294	459	1098
295	461	1096
296	462	1095
297	464	1093
298	465	1091
299	466	1089
300	468	1087
301	469	1085
302	471	1083
303	472	1081
304	474	1080
305	475	1078
306	476	1076
307	478	1074
308	479	1072
309	481	1071
310	482	1069
311	484	1067
312	485	1065
313	486	1063
314	488	1062
315	489	1060
316	491	1058
317	492	1056
318	494	1055
319	495	1053
320	497	1051
321	498	1049
322	499	1047
323	501	1045
324	502	1043
325	504	1042
326	505	1040
327	507	1039
328	508	1037
329	510	1035
330	511	1033
331	512	1031
332	514	1030
333	515	1028
334	517	1026
335	518	1024
336	519	1022
337	521	1021
338	523	1020
339	524	1018
340	527	1018
341	528	1017
342	531	1017
343	532	1016
344	534	1014
345	536	1013
346	537	1011
347	539	1009
348	540	1009
349	542	1007
350	544	1006
351	546	1006
352	548	1005
353	550	1005
354	552	1003
355	553	1002
356	555	1000
357	556	998
358	558	996
359	559	994
360	561	993
361	562	991
362	564	989
363	565	988
364	567	986
365	568	984
366	569	983
367	571	981
368	572	979
369	574	977
370	575	975
371	577	974
372	578	972
373	579	970
374	581	969
375	583	967
376	584	965
377	585	964
378	587	962
379	588	960
380	590	958
381	591	956
382	593	955
