iter	Recall	Logloss
0	0.2039473684	0.6714511971
1	0.2368421053	0.6506814617
2	0.1447368421	0.6331688536
3	0.1381578947	0.6144939349
4	0.1184210526	0.5975883927
5	0.1118421053	0.5850605266
6	0.09868421053	0.5702485093
7	0.09868421053	0.555278864
8	0.1052631579	0.5399726262
9	0.09868421053	0.5285760621
10	0.08552631579	0.5180517249
11	0.08552631579	0.509473136
12	0.09210526316	0.4972442585
13	0.09210526316	0.4857438092
14	0.08552631579	0.4774369066
15	0.08552631579	0.4687032285
16	0.09868421053	0.4577035241
17	0.09868421053	0.448322134
18	0.09868421053	0.4420781251
19	0.09868421053	0.4338715452
20	0.09868421053	0.4269709447
21	0.09868421053	0.4202847458
22	0.09868421053	0.4125412851
23	0.1052631579	0.4059657294
24	0.1315789474	0.4017425749
25	0.1052631579	0.3971107613
26	0.1184210526	0.3922423223
27	0.1184210526	0.388092553
28	0.1184210526	0.3847141569
29	0.125	0.3810605914
30	0.125	0.3760255538
31	0.1381578947	0.3698686863
32	0.1381578947	0.3662930778
33	0.1447368421	0.3626877577
34	0.1447368421	0.3593717406
35	0.1578947368	0.3546774772
36	0.1644736842	0.3510691209
37	0.1644736842	0.3478086049
38	0.1578947368	0.3447586307
39	0.1776315789	0.3407366353
40	0.1842105263	0.3372864448
41	0.1842105263	0.3356694199
42	0.1973684211	0.3325414167
43	0.2039473684	0.3301150125
44	0.2039473684	0.3276939998
45	0.2039473684	0.325636986
46	0.1973684211	0.323660017
47	0.2039473684	0.3211452621
48	0.2039473684	0.3195311263
49	0.2039473684	0.3173407974
50	0.2039473684	0.315384232
51	0.2039473684	0.3131339168
52	0.2039473684	0.310682895
53	0.2105263158	0.3088748761
54	0.2105263158	0.3062783261
55	0.2236842105	0.3046847226
56	0.2171052632	0.3023023746
57	0.2171052632	0.3006084628
58	0.2171052632	0.2997753141
59	0.2236842105	0.2984738662
60	0.2368421053	0.2967277992
61	0.2368421053	0.2952689664
62	0.25	0.2941493769
63	0.2631578947	0.2911500166
64	0.2697368421	0.2899118834
65	0.2697368421	0.2878175608
66	0.2697368421	0.2861861059
67	0.2697368421	0.2841677709
68	0.2565789474	0.2831412913
69	0.2763157895	0.2814782263
70	0.2763157895	0.2797455996
71	0.2894736842	0.2773893458
72	0.3026315789	0.2752517246
73	0.3092105263	0.2735811946
74	0.3157894737	0.2711285103
75	0.3223684211	0.2695396476
76	0.3157894737	0.2683013792
77	0.3223684211	0.2671509653
78	0.3289473684	0.265718478
79	0.3355263158	0.2636799395
80	0.3355263158	0.2628434237
81	0.3355263158	0.2610738565
82	0.3421052632	0.2596576743
83	0.3618421053	0.2584077047
84	0.3684210526	0.2569530226
85	0.3684210526	0.2558572212
86	0.3684210526	0.2547137027
87	0.3684210526	0.2540549204
88	0.3815789474	0.2522775971
89	0.3815789474	0.2514108809
90	0.3881578947	0.2499286351
91	0.3881578947	0.2491372972
92	0.3947368421	0.2477642493
93	0.3947368421	0.2471074848
94	0.3947368421	0.2461264835
95	0.4013157895	0.245227197
96	0.4078947368	0.2441596449
97	0.4078947368	0.2435452888
98	0.4144736842	0.2427130002
99	0.4276315789	0.2412682895
100	0.4144736842	0.2405576379
101	0.4276315789	0.2392814183
102	0.4473684211	0.2373843823
103	0.4473684211	0.2362338125
104	0.4539473684	0.23569981
105	0.4605263158	0.2350104908
106	0.4736842105	0.2341323596
107	0.4605263158	0.2333251313
108	0.4539473684	0.2324642254
109	0.4539473684	0.2317519032
110	0.4539473684	0.230913216
111	0.4539473684	0.2294198679
112	0.4539473684	0.2283911735
113	0.4539473684	0.2273388197
114	0.4736842105	0.2258325942
115	0.4802631579	0.2247860073
116	0.4802631579	0.2238426018
117	0.4736842105	0.2233542486
118	0.4802631579	0.2218976501
119	0.4868421053	0.2208946006
120	0.4868421053	0.2199563608
121	0.4868421053	0.2189026633
122	0.5065789474	0.2182700029
123	0.5	0.2172241419
124	0.5065789474	0.2160916393
125	0.5197368421	0.2149005062
126	0.5197368421	0.2139296277
127	0.5197368421	0.213354836
128	0.5197368421	0.212707857
129	0.5197368421	0.2119379625
130	0.5328947368	0.210783971
131	0.5328947368	0.2098270314
132	0.5394736842	0.2088507494
133	0.5394736842	0.2075024466
134	0.5460526316	0.2063706648
135	0.5460526316	0.205608463
136	0.5460526316	0.204788438
137	0.5460526316	0.2039142213
138	0.5460526316	0.2028528642
139	0.5460526316	0.2021895311
140	0.5460526316	0.201420984
141	0.5460526316	0.2005389804
142	0.5460526316	0.1999158233
143	0.5460526316	0.1991224838
144	0.5460526316	0.1982207441
145	0.5460526316	0.1977066332
146	0.5592105263	0.1966820443
147	0.5592105263	0.1959650299
148	0.5657894737	0.1949250636
149	0.5723684211	0.1941285313
150	0.5789473684	0.193286086
151	0.5789473684	0.1922736971
152	0.5789473684	0.1916722637
153	0.5855263158	0.1910770653
154	0.6052631579	0.1901121496
155	0.6118421053	0.1892803456
156	0.625	0.1883568466
157	0.6315789474	0.1868217535
158	0.6381578947	0.1861109836
159	0.6381578947	0.1855767915
160	0.6381578947	0.1847876896
161	0.6381578947	0.1839642135
162	0.6447368421	0.182826883
163	0.6381578947	0.1822917046
164	0.6381578947	0.1814505261
165	0.6513157895	0.1802641753
166	0.6578947368	0.1797720916
167	0.6578947368	0.1791777108
168	0.6578947368	0.1784208039
169	0.6578947368	0.1775722629
170	0.6644736842	0.1768236394
171	0.6710526316	0.1759985775
172	0.6710526316	0.1748589916
173	0.6710526316	0.1742629219
174	0.6710526316	0.1738022143
175	0.6710526316	0.1729208626
176	0.6776315789	0.17232756
177	0.6776315789	0.1720358055
178	0.6776315789	0.1708399171
179	0.6842105263	0.170315191
180	0.6842105263	0.1691537538
181	0.6842105263	0.1689781539
182	0.6842105263	0.1685186945
183	0.6842105263	0.1675062102
184	0.6842105263	0.1667874423
185	0.6907894737	0.1662079111
186	0.6842105263	0.1655233899
187	0.6907894737	0.1650773674
188	0.6907894737	0.1642921733
189	0.6907894737	0.1635266062
190	0.6907894737	0.1630474847
191	0.6907894737	0.1623569266
192	0.6907894737	0.1617617213
193	0.6973684211	0.1609737074
194	0.6973684211	0.1602858867
195	0.6973684211	0.1601175786
196	0.7039473684	0.1590426984
197	0.7039473684	0.1585043585
198	0.7105263158	0.1575861389
199	0.7105263158	0.1570279742
200	0.7105263158	0.1560647244
201	0.7105263158	0.1556953917
202	0.7105263158	0.1551066792
203	0.7105263158	0.1544010505
204	0.7302631579	0.1535652764
205	0.7368421053	0.1527162278
206	0.7434210526	0.1522173033
207	0.75	0.1517729462
208	0.75	0.1512936409
209	0.75	0.150830427
210	0.75	0.1498312273
211	0.75	0.1494024061
212	0.75	0.1490927063
213	0.75	0.1482133625
214	0.75	0.1476253066
