iter	Passed	Remaining
0	4	4121
1	5	2821
2	7	2347
3	8	2101
4	9	1955
5	11	1869
6	12	1805
7	14	1759
8	15	1716
9	16	1677
10	18	1666
11	19	1637
12	21	1620
13	22	1601
14	24	1583
15	25	1565
16	26	1552
17	28	1548
18	29	1537
19	31	1528
20	32	1522
21	34	1512
22	35	1505
23	36	1494
24	38	1485
25	39	1479
26	40	1472
27	42	1466
28	43	1465
29	45	1461
30	46	1455
31	48	1463
32	49	1463
33	51	1463
34	53	1465
35	54	1467
36	56	1474
37	58	1483
38	60	1483
39	61	1478
40	63	1478
41	64	1477
42	66	1475
43	67	1472
44	69	1468
45	70	1463
46	71	1459
47	73	1455
48	74	1451
49	76	1449
50	77	1448
51	79	1445
52	80	1441
53	82	1437
54	83	1434
55	84	1430
56	86	1427
57	87	1425
58	89	1422
59	90	1419
60	92	1424
61	94	1428
62	96	1430
63	97	1432
64	99	1431
65	101	1430
66	102	1428
67	104	1428
68	106	1433
69	107	1432
70	109	1429
71	110	1426
72	112	1423
73	113	1420
74	114	1417
75	116	1417
76	117	1414
77	119	1412
78	120	1409
79	122	1410
80	124	1407
81	125	1405
82	126	1403
83	128	1401
84	129	1398
85	131	1395
86	132	1393
87	134	1391
88	135	1389
89	137	1386
90	139	1389
91	140	1388
92	142	1386
93	143	1383
94	145	1382
95	146	1379
96	147	1377
97	149	1374
98	150	1372
99	152	1369
100	154	1370
101	155	1371
102	157	1369
103	158	1367
104	160	1364
105	161	1362
106	162	1359
107	164	1357
108	165	1354
109	167	1352
110	168	1351
111	170	1351
112	171	1349
113	173	1347
114	174	1345
115	176	1342
116	177	1340
117	179	1338
118	180	1336
119	181	1334
120	183	1332
121	185	1336
122	187	1339
123	189	1339
124	191	1342
125	193	1345
126	195	1344
127	197	1342
128	198	1342
129	200	1340
130	201	1338
131	203	1336
132	204	1334
133	206	1332
134	207	1330
135	209	1328
136	210	1326
137	211	1323
138	213	1322
139	214	1319
140	216	1317
141	217	1316
142	219	1314
143	220	1312
144	222	1310
145	223	1307
146	225	1305
147	226	1303
148	227	1301
149	230	1304
150	232	1304
151	233	1304
152	235	1302
153	236	1300
154	238	1298
155	239	1296
156	241	1294
157	242	1292
158	244	1291
159	245	1289
160	247	1287
161	248	1286
162	250	1284
163	251	1282
164	252	1280
165	254	1277
166	255	1275
167	257	1273
168	258	1272
169	260	1270
170	261	1268
171	263	1266
172	264	1264
173	266	1262
174	267	1260
175	268	1258
176	270	1256
177	271	1254
178	273	1252
179	274	1252
180	276	1251
181	278	1250
182	279	1248
183	281	1246
184	282	1244
185	283	1242
186	285	1240
187	286	1238
188	288	1236
189	290	1238
190	291	1236
191	293	1234
192	294	1232
193	296	1230
194	297	1229
195	299	1227
196	300	1225
197	301	1223
198	303	1221
199	305	1220
200	306	1218
201	308	1217
202	309	1215
203	311	1213
204	312	1212
205	314	1210
206	315	1208
207	316	1206
208	318	1204
209	319	1202
210	321	1202
211	323	1201
212	324	1199
213	326	1198
214	327	1197
215	329	1195
216	330	1192
217	332	1190
218	333	1190
219	335	1189
220	336	1187
221	338	1185
222	339	1184
223	341	1182
224	343	1182
225	344	1180
226	346	1178
227	347	1176
228	349	1176
229	350	1174
230	352	1173
231	354	1171
232	356	1172
233	357	1171
234	359	1171
235	361	1169
236	362	1167
237	364	1166
238	365	1164
239	367	1162
240	368	1160
241	369	1158
242	371	1156
243	372	1154
244	374	1152
245	375	1151
246	377	1149
247	378	1147
248	380	1146
249	381	1144
250	382	1142
251	384	1140
252	385	1138
253	386	1136
254	388	1134
255	389	1133
256	391	1131
257	392	1129
258	394	1128
259	395	1126
260	397	1124
261	398	1122
262	400	1121
263	401	1119
264	402	1117
265	404	1115
266	405	1113
267	407	1112
268	408	1110
269	410	1108
270	411	1107
271	412	1105
272	414	1103
273	415	1101
274	417	1100
275	418	1098
276	420	1096
277	421	1095
278	423	1094
279	440	1133
280	442	1131
281	443	1129
282	445	1127
283	446	1125
284	447	1123
285	449	1121
286	450	1119
287	452	1117
288	453	1115
289	455	1114
290	456	1112
291	458	1110
292	459	1108
293	460	1106
294	462	1104
295	463	1102
296	465	1100
297	466	1098
298	467	1096
299	469	1096
300	471	1094
301	472	1092
302	474	1090
303	475	1088
304	477	1087
305	478	1085
306	479	1083
307	481	1081
308	482	1079
309	484	1077
310	485	1076
311	487	1074
312	488	1072
313	490	1070
314	491	1068
315	492	1066
316	494	1064
317	495	1062
318	496	1060
319	498	1059
320	500	1058
321	501	1056
322	503	1055
323	504	1053
324	506	1052
325	507	1050
326	509	1048
327	510	1046
328	512	1044
329	513	1042
330	515	1041
331	516	1039
332	518	1037
333	519	1035
334	521	1034
335	522	1032
336	523	1030
337	525	1028
338	526	1026
339	527	1024
340	529	1023
341	531	1021
342	532	1020
343	534	1018
344	535	1016
345	536	1014
346	538	1012
347	539	1011
348	541	1009
349	542	1007
350	543	1005
351	545	1004
352	546	1002
353	548	1001
354	550	999
355	551	997
356	553	996
357	554	994
358	556	993
359	557	991
360	559	989
361	560	988
362	562	986
363	563	984
364	565	983
365	566	981
366	567	979
367	569	977
368	570	976
369	572	974
370	573	972
371	575	970
372	576	969
373	577	967
374	579	965
375	580	964
376	582	962
377	583	960
378	585	959
379	586	957
380	588	955
381	589	953
382	591	952
383	592	950
384	593	948
385	595	946
386	596	945
387	598	943
388	599	942
389	601	940
390	602	938
391	604	937
392	605	935
393	607	935
394	609	933
395	612	934
396	613	932
397	615	930
398	616	929
399	618	928
400	620	927
401	622	926
402	624	924
403	626	923
404	628	922
405	629	921
406	631	919
407	632	917
408	634	916
409	635	914
410	637	913
411	638	911
412	639	909
413	641	907
414	642	906
415	644	904
416	645	902
417	647	900
418	648	899
419	649	897
420	651	895
421	652	894
422	654	892
423	655	890
424	657	888
425	658	887
426	660	885
427	661	884
428	662	882
429	664	881
430	666	879
431	667	878
432	669	876
433	670	874
434	672	872
435	673	871
436	675	869
437	676	868
438	677	866
439	679	864
440	681	863
441	682	861
442	683	859
443	685	858
444	686	856
445	688	854
446	689	853
447	691	851
448	692	849
449	694	848
450	696	847
451	697	845
452	699	844
453	700	842
454	702	840
455	703	839
456	704	837
457	706	835
458	707	834
