iter	Recall	Logloss
0	0.1578947368	0.6708855294
1	0.1381578947	0.6511388676
2	0.07236842105	0.6321064493
3	0.07236842105	0.6135987454
4	0.09210526316	0.5954876918
5	0.05921052632	0.5823492761
6	0.03947368421	0.5675076856
7	0.04605263158	0.5528749308
8	0.07894736842	0.53520542
9	0.05921052632	0.5244443287
10	0.03947368421	0.5139864506
11	0.03289473684	0.5052000501
12	0.05263157895	0.4927269163
13	0.04605263158	0.4812609912
14	0.04605263158	0.4729558039
15	0.03947368421	0.4653167032
16	0.04605263158	0.4554523186
17	0.07236842105	0.4455676868
18	0.09210526316	0.4365995988
19	0.1052631579	0.4272382521
20	0.1118421053	0.4201342883
21	0.1118421053	0.4129785908
22	0.125	0.4053306297
23	0.1447368421	0.3984986618
24	0.1447368421	0.3943936456
25	0.1381578947	0.3898262701
26	0.1513157895	0.3846040851
27	0.1315789474	0.3803689976
28	0.1381578947	0.377452094
29	0.1513157895	0.3740724445
30	0.1513157895	0.3701892808
31	0.1644736842	0.3639931914
32	0.1842105263	0.3601832408
33	0.1842105263	0.3570372104
34	0.1776315789	0.3534703362
35	0.1907894737	0.3488061098
36	0.1842105263	0.3445401662
37	0.2105263158	0.3413095436
38	0.2105263158	0.338660885
39	0.2039473684	0.3346184471
40	0.2039473684	0.3315822609
41	0.2039473684	0.328861061
42	0.1973684211	0.3266384722
43	0.2039473684	0.3239712702
44	0.2105263158	0.3207676752
45	0.2302631579	0.3186255929
46	0.2171052632	0.3167850472
47	0.2236842105	0.3144073661
48	0.2368421053	0.3122290753
49	0.2434210526	0.3100964772
50	0.2434210526	0.3083571109
51	0.2434210526	0.3064131518
52	0.2434210526	0.3042422076
53	0.2565789474	0.3022605928
54	0.2631578947	0.3001114714
55	0.2763157895	0.2974002586
56	0.2763157895	0.2958805397
57	0.2828947368	0.292805577
58	0.2894736842	0.291150234
59	0.2894736842	0.2898280342
60	0.2960526316	0.2878910231
61	0.3157894737	0.2854802454
62	0.3157894737	0.283758895
63	0.3223684211	0.2812719901
64	0.3289473684	0.2791282684
65	0.3223684211	0.2779667992
66	0.3289473684	0.2767238579
67	0.3355263158	0.2751940581
68	0.3355263158	0.2738607607
69	0.3421052632	0.2729158787
70	0.3421052632	0.2717816074
71	0.3421052632	0.2707806278
72	0.3355263158	0.2696205608
73	0.3421052632	0.2678695976
74	0.3421052632	0.2659008764
75	0.3552631579	0.2651495326
76	0.3684210526	0.2631209796
77	0.3815789474	0.2619212019
78	0.3815789474	0.2603232631
79	0.3815789474	0.2591598391
80	0.3815789474	0.2578043523
81	0.3815789474	0.2562009609
82	0.3815789474	0.2547441923
83	0.3947368421	0.253053228
84	0.3947368421	0.2520309543
85	0.3947368421	0.2506002869
86	0.3947368421	0.2492811011
87	0.3947368421	0.2491841122
88	0.4013157895	0.2480875944
89	0.4078947368	0.2472921367
90	0.4078947368	0.2458814371
91	0.4078947368	0.2441393532
92	0.4144736842	0.2431581396
93	0.4144736842	0.2422654307
94	0.4144736842	0.2411010683
95	0.4210526316	0.2407890619
96	0.4210526316	0.2395159948
97	0.4210526316	0.2380940909
98	0.4276315789	0.2371479783
99	0.4276315789	0.2366934211
100	0.4276315789	0.2352850316
101	0.4473684211	0.2338055083
102	0.4539473684	0.2330598
103	0.4671052632	0.2314402129
104	0.4671052632	0.2304727399
105	0.4671052632	0.2298642043
106	0.4802631579	0.2284956678
107	0.4802631579	0.2276832295
108	0.4736842105	0.2270086452
109	0.4802631579	0.2262265937
110	0.4802631579	0.2250746364
111	0.4868421053	0.2239395183
112	0.4868421053	0.2233265726
113	0.4934210526	0.2223289712
114	0.4868421053	0.2215167635
115	0.4868421053	0.220250049
116	0.4934210526	0.2193427236
117	0.5	0.2177457583
118	0.5	0.2171112111
119	0.5065789474	0.2165649032
120	0.5065789474	0.2161398477
121	0.5065789474	0.2148224136
122	0.5065789474	0.2143154872
123	0.5263157895	0.2136735671
124	0.5131578947	0.2128678766
125	0.5263157895	0.212005238
126	0.5460526316	0.2113952517
127	0.5526315789	0.2107142348
128	0.5592105263	0.2094096796
129	0.5723684211	0.2083654964
130	0.5657894737	0.2075645163
131	0.5723684211	0.2063344886
132	0.5855263158	0.2055210065
133	0.5921052632	0.204423727
134	0.5921052632	0.2034880996
135	0.5921052632	0.2027379688
136	0.5986842105	0.2019098867
137	0.5986842105	0.2010426306
138	0.6052631579	0.2001224618
139	0.6052631579	0.1994356927
140	0.6052631579	0.1986086793
141	0.6118421053	0.1979150559
142	0.625	0.1971370208
143	0.625	0.1961358282
144	0.625	0.1954548934
145	0.6315789474	0.1945523418
146	0.6315789474	0.1939594867
147	0.6315789474	0.1928058603
148	0.6381578947	0.1916890471
149	0.6381578947	0.1907796658
150	0.6381578947	0.1896760294
151	0.6513157895	0.1889420159
152	0.6513157895	0.1881829595
153	0.6513157895	0.1875425267
154	0.6513157895	0.1866992074
155	0.6513157895	0.1861124456
156	0.6513157895	0.1851529472
157	0.6513157895	0.1842293343
158	0.6578947368	0.1836070365
159	0.6578947368	0.1827967039
160	0.6578947368	0.1818817254
161	0.6644736842	0.1812112483
162	0.6644736842	0.1800641611
163	0.6644736842	0.179384234
164	0.6644736842	0.1789311547
165	0.6644736842	0.178532214
166	0.6644736842	0.1778151869
167	0.6710526316	0.1765473886
168	0.6776315789	0.1758471111
169	0.6776315789	0.1747855398
170	0.6842105263	0.1744041645
171	0.6842105263	0.1737775428
172	0.6842105263	0.1730931965
173	0.6907894737	0.1724445259
174	0.6907894737	0.1717722219
175	0.6973684211	0.1709086094
176	0.7171052632	0.1699306281
177	0.7171052632	0.1690294457
178	0.7236842105	0.1684192851
179	0.7236842105	0.1680556098
180	0.7236842105	0.1675210641
181	0.7368421053	0.1669490645
182	0.7236842105	0.166287458
183	0.7236842105	0.1659612643
184	0.7302631579	0.1655656098
185	0.7302631579	0.1646982268
186	0.7236842105	0.1642683191
187	0.7302631579	0.1639841378
188	0.7368421053	0.1634888594
189	0.7368421053	0.1630802864
190	0.7368421053	0.1622365304
191	0.7434210526	0.1615182493
192	0.7434210526	0.1610269539
193	0.75	0.1601112376
194	0.7434210526	0.1598463991
195	0.7565789474	0.1593581812
196	0.7565789474	0.1586688181
197	0.7565789474	0.1581198671
198	0.7565789474	0.1574580149
199	0.7565789474	0.1572219076
200	0.7565789474	0.1566848385
201	0.7565789474	0.156225115
202	0.7565789474	0.1553991589
203	0.7565789474	0.1548338682
204	0.7565789474	0.1541449792
205	0.7565789474	0.1535802522
206	0.7631578947	0.1530296084
207	0.7631578947	0.1526498633
