iter	Logloss
0	0.4132910891
1	0.3456626581
2	0.3073853628
3	0.2912566465
4	0.2807207568
5	0.267669819
6	0.2476973802
7	0.2296051211
8	0.2122005683
9	0.2060556019
10	0.1991717291
11	0.1786564174
12	0.1618540265
13	0.1467038569
14	0.1344975525
15	0.1309262357
16	0.1161162844
17	0.1075857711
18	0.09919123967
19	0.09604661946
20	0.08818960874
21	0.08463495005
22	0.08406545803
23	0.07660069991
24	0.06943317156
25	0.06635777985
26	0.06189582647
27	0.06077432949
28	0.05359290073
29	0.05287153629
30	0.05234397198
31	0.04776224201
32	0.04382737068
33	0.03906129521
34	0.03747941487
35	0.0355885397
36	0.03458186114
37	0.03408497484
38	0.03206749685
39	0.03100971385
40	0.02967575125
41	0.02942509142
42	0.02774268929
43	0.02549396734
44	0.02427695898
45	0.02330277761
46	0.02255820703
47	0.02128963269
48	0.02051281778
49	0.0204830549
50	0.01966890663
51	0.01909480308
52	0.01903248257
53	0.01814285187
54	0.01756694519
55	0.01593884226
56	0.01537679273
57	0.01486029729
58	0.01424770648
59	0.01354512065
60	0.01328453093
61	0.01283624541
62	0.01224684152
63	0.01196639704
64	0.01189001349
65	0.01185548428
66	0.01158851814
67	0.01156487619
68	0.01130851115
69	0.01092660183
70	0.01059899197
71	0.01044057144
72	0.01029577472
73	0.009943245958
74	0.009649798903
75	0.009636451784
76	0.009235427046
77	0.00893089716
78	0.008741289101
79	0.008591662037
80	0.008334319528
81	0.008080751307
82	0.007952195409
83	0.007795111702
84	0.007409120572
85	0.007387448352
86	0.007134533198
87	0.007041812343
88	0.006749485768
89	0.006456336098
90	0.006418718708
91	0.006277929898
92	0.006208311835
93	0.006111081869
94	0.006071819093
95	0.006005668336
96	0.005991235842
97	0.005962957936
98	0.005866446554
99	0.00577654033
